,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-512-2-3p,0.938726828,-0.059473899,0.487419769,-0.122017822,0.902884904,0.99695758
hsa-miR-760-3p,8.01911497,-0.075898229,0.522529239,-0.14525164,0.884512195,0.99695758
hsa-miR-548j-5p,0.692878718,-0.063876309,0.424878182,-0.150340291,0.880496147,0.99695758
hsa-miR-454-5p,14.27799151,-0.063132129,0.489973995,-0.128847918,0.897477989,0.99695758
hsa-let-7e-5p,1816.369607,-0.063569981,0.430705416,-0.147595036,0.882662373,0.99695758
hsa-miR-3200-5p,0.316647533,0.042549432,0.313575877,0.135691024,0.892065544,0.99695758
hsa-miR-3655-5p,0.322877551,0.038735449,0.315462684,0.12278932,0.902273931,0.99695758
hsa-let-7f-1-3p,53.12765097,-0.078354008,0.425363244,-0.184204934,0.853852689,0.99695758
hsa-miR-21-3p,877.4098327,0.04198941,0.323940504,0.129620747,0.896866488,0.99695758
hsa-miR-4286-5p,13.47516479,-0.074028923,0.48616022,-0.152272686,0.878971867,0.99695758
hsa-miR-6880-3p,0.322877551,0.038735449,0.315462684,0.12278932,0.902273931,0.99695758
hsa-miR-128-1-5p,0.814345468,0.05270219,0.414913105,0.127019825,0.898924708,0.99695758
hsa-miR-585-3p,10.67206766,0.089312467,0.515771146,0.173162977,0.862523324,0.99695758
hsa-miR-181b-2-3p,1.014943551,-0.055399886,0.458932549,-0.120714658,0.903917049,0.99695758
hsa-miR-4691-3p,0.592707186,-0.065481649,0.408751018,-0.160199353,0.872724039,0.99695758
hsa-miR-24-1-5p,4.844319382,-0.104990027,0.566818011,-0.185227047,0.853050955,0.99695758
hsa-miR-5187-5p,0.322877551,0.038735449,0.315462684,0.12278932,0.902273931,0.99695758
hsa-miR-129-1-3p,0.439811345,-0.050043446,0.349573205,-0.143155839,0.886167106,0.99695758
hsa-miR-30a-3p,280.036992,0.071164499,0.393511675,0.180844695,0.85648948,0.99695758
hsa-miR-891a-5p,0.322877551,0.038735449,0.315462684,0.12278932,0.902273931,0.99695758
hsa-miR-660-3p,0.439811345,-0.050043446,0.349573205,-0.143155839,0.886167106,0.99695758
hsa-miR-1247-3p,15.3263256,-0.07057849,0.560484836,-0.125923995,0.899792089,0.99695758
hsa-miR-7974-3p,215.8131988,-0.086229387,0.492628994,-0.175039203,0.861048829,0.99695758
hsa-miR-641-3p,0.621800292,0.053886063,0.41300566,0.130472941,0.896192261,0.99695758
