,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-183-5p,180.9298774,0.05125787,0.500320044,0.102450163,0.918399368,0.998458272
hsa-miR-629-5p,499.1718958,0.057429805,0.596596234,0.096262434,0.923312146,0.998458272
hsa-miR-4454-5p,4.227525977,0.057288959,0.606225149,0.094501126,0.924711088,0.998458272
hsa-miR-181a-2-3p,4.337560355,0.056477632,0.60277974,0.093695306,0.925351199,0.998458272
hsa-miR-18a-3p,7.626512572,0.052702011,0.571823444,0.092164831,0.92656708,0.998458272
hsa-miR-125a-5p,242.3446308,-0.053197839,0.585518899,-0.090855887,0.927607102,0.998458272
hsa-miR-744-5p,53.09153713,0.041173843,0.529152765,0.077810882,0.93797849,0.998458272
hsa-miR-1301-3p,19.84251649,0.037883791,0.517210339,0.073246391,0.941610051,0.998458272
hsa-miR-1254-1-5p,5.388337377,-0.041941522,0.588304105,-0.071292248,0.943165165,0.998458272
hsa-miR-4419a-5p,12.73841952,0.038841404,0.552548244,0.070295046,0.943958825,0.998458272
hsa-miR-345-5p,19.94416936,0.03413046,0.522127557,0.065368049,0.947880963,0.998458272
hsa-miR-1-2-3p,3.510573215,0.038459689,0.603168762,0.063762733,0.949159153,0.998458272
hsa-miR-1-1-3p,3.510573215,0.038459689,0.603168762,0.063762733,0.949159153,0.998458272
hsa-miR-1250-5p,17.8310376,0.032485172,0.529956632,0.061297792,0.951122049,0.998458272
hsa-miR-106b-5p,123.5032625,0.02583013,0.480896278,0.053712477,0.957164242,0.998458272
hsa-miR-330-5p,4.691081729,0.031741015,0.591449807,0.053666456,0.957200909,0.998458272
hsa-miR-504-5p,4.941170542,-0.031277432,0.603316629,-0.051842484,0.958654204,0.998458272
hsa-miR-30c-2-3p,3.644061364,-0.03084826,0.607779453,-0.05075568,0.959520207,0.998458272
hsa-miR-501-5p,4.70487387,0.029768159,0.603665623,0.049312331,0.960670393,0.998458272
hsa-miR-200b-3p,55.09655123,-0.028773455,0.607569304,-0.047358309,0.962227656,0.998458272
hsa-miR-7704-5p,5.034812722,-0.026531547,0.608293503,-0.043616357,0.965210213,0.998458272
hsa-miR-296-5p,2.062444118,0.026017343,0.605868714,0.042942212,0.965747599,0.998458272
hsa-miR-378g-5p,6.189818772,-0.024322977,0.584522047,-0.041611736,0.966808217,0.998458272
hsa-miR-2110-5p,5.918125904,-0.022519438,0.589942517,-0.038172258,0.96955034,0.998458272
hsa-miR-99b-5p,435.5514977,-0.019880715,0.538927269,-0.036889421,0.970573175,0.998458272
hsa-miR-1273e-3p,7.259774358,-0.015463145,0.601569859,-0.025704654,0.979492912,0.998458272
hsa-miR-4677-3p,1.485892583,-0.01259758,0.594408294,-0.021193479,0.983091316,0.998458272
hsa-miR-199b-3p,9.290421845,0.011977152,0.568394839,0.021071887,0.983188311,0.998458272
hsa-miR-199a-1-3p,9.290421845,0.011977152,0.568394839,0.021071887,0.983188311,0.998458272
hsa-miR-199a-2-3p,9.290421845,0.011977152,0.568394839,0.021071887,0.983188311,0.998458272
hsa-miR-361-3p,22.9923765,0.007835001,0.547278396,0.014316299,0.988577636,0.998458272
hsa-miR-1285-2-3p,5.200226254,-0.007964615,0.585792957,-0.013596297,0.989152058,0.998458272
hsa-miR-3159-3p,8.570254291,-0.008188048,0.604110457,-0.013553891,0.98918589,0.998458272
hsa-miR-769-5p,142.1475172,-0.006285506,0.508517417,-0.012360453,0.990138036,0.998458272
hsa-miR-340-3p,12.36295919,0.005838942,0.555112012,0.010518493,0.991607612,0.998458272
hsa-miR-140-3p,170.1934159,-0.002893261,0.457800092,-0.006319922,0.994957465,0.998458272
hsa-miR-193a-5p,20.42812686,-0.002781154,0.579906888,-0.004795862,0.99617347,0.998458272
hsa-miR-1285-1-3p,5.984745363,0.001036787,0.57382619,0.001806796,0.998558386,0.998558386
hsa-miR-4485-3p,14.23928758,-1.048698029,0.58476356,-1.793371033,NA,NA
hsa-miR-7641-1-3p,90.14384479,0.891383372,0.608299212,1.465369929,NA,NA
hsa-miR-1226-3p,3.616843216,-1.128577365,0.597382285,-1.889204609,NA,NA
hsa-miR-130b-5p,24.23989364,-1.007857919,0.589344395,-1.710134053,NA,NA
hsa-miR-7641-2-3p,250.9539121,0.686227546,0.600239558,1.143256117,NA,NA
