,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-10a-3p,84.55476327,-0.021788804,0.452387054,-0.048164076,0.96158548,0.992115227
hsa-miR-128-2-3p,1696.266994,0.023952251,0.524834139,0.045637754,0.963598977,0.992115227
hsa-miR-16-2-3p,257.3713052,0.015823917,0.442999881,0.035719913,0.971505692,0.992115227
hsa-miR-210-3p,37.61420402,-0.018651884,0.540597751,-0.034502334,0.972476581,0.992115227
hsa-miR-107-3p,305.5222472,-0.016302815,0.510811745,-0.031915505,0.974539433,0.992115227
hsa-miR-374a-3p,22.14708406,-0.016201852,0.559813763,-0.028941504,0.976911244,0.992115227
hsa-miR-449a-5p,3.779371103,-0.017093644,0.612451643,-0.027910193,0.977733779,0.992115227
hsa-miR-125a-3p,5.409288196,0.016479442,0.598399921,0.027539178,0.978029692,0.992115227
hsa-miR-454-5p,13.22844373,-0.01516752,0.562642377,-0.026957656,0.978493507,0.992115227
hsa-miR-7704-5p,8.38722832,-0.012464275,0.595461148,-0.020932138,0.98329979,0.993580697
hsa-miR-548l-5p,2.574847625,-0.009404029,0.605245478,-0.015537546,0.987603331,0.993580697
hsa-miR-1295a-3p,2.832747514,0.008613877,0.612512341,0.01406319,0.988779568,0.993580697
hsa-miR-3195-5p,2.508304077,-0.007932339,0.577106982,-0.013745006,0.989033417,0.993580697
hsa-miR-221-3p,473.3962989,0.002787283,0.515054249,0.005411629,0.995682166,0.99796584
hsa-miR-502-3p,114.9484521,0.000651149,0.536432707,0.001213851,0.999031487,0.999031487
hsa-miR-4485-3p,31.74149755,0.207164996,0.536578166,0.3860854,NA,NA
hsa-miR-205-5p,57.60241901,-0.362471988,0.525881495,-0.689265532,NA,NA
hsa-miR-7641-1-3p,172.9487314,-1.399743652,0.588031331,-2.380389581,NA,NA
hsa-miR-100-5p,1771.730201,-0.482890554,0.61109584,-0.790204289,NA,NA
hsa-miR-7641-2-3p,401.3669514,-0.924022054,0.563464526,-1.639893928,NA,NA
