"","Name"
"127",">hsa-miR-766-3p MIMAT0003888"
"128",">hsa-miR-487b-3p MIMAT0003180"
"129",">hsa-miR-330-3p MIMAT0000751"
"130",">hsa-miR-4257 MIMAT0016878"
"131",">hsa-miR-4264 MIMAT0016899"
"132",">hsa-miR-489-5p MIMAT0026605"
"133",">hsa-miR-92b-5p MIMAT0004792"
"134",">hsa-miR-6829-3p MIMAT0027559"
"135",">hsa-miR-6766-3p MIMAT0027433"
"136",">hsa-miR-5584-5p MIMAT0022283"
"137",">hsa-miR-4710 MIMAT0019815"
"138",">hsa-miR-3910 MIMAT0018184"
"139",">hsa-miR-885-5p MIMAT0004947"
"140",">hsa-miR-302e MIMAT0005931"
"141",">hsa-miR-4715-3p MIMAT0019825"
"142",">hsa-miR-1282 MIMAT0005940"
"143",">hsa-miR-3124-5p MIMAT0014986"
"144",">hsa-miR-4750-5p MIMAT0019887"
"145",">hsa-miR-191-3p MIMAT0001618"
"146",">hsa-miR-6841-3p MIMAT0027585"
"147",">hsa-miR-1301-5p MIMAT0026639"
"148",">hsa-miR-3928-3p MIMAT0018205"
"149",">hsa-miR-6799-5p MIMAT0027498"
"150",">hsa-miR-20a-3p MIMAT0004493"
"151",">hsa-miR-6787-3p MIMAT0027475"
"152",">hsa-miR-1915-3p MIMAT0007892"
"153",">hsa-miR-603 MIMAT0003271"
"154",">hsa-miR-32-5p MIMAT0000090"
"155",">hsa-miR-5706 MIMAT0022500"
"156",">hsa-miR-6778-5p MIMAT0027456"
"157",">hsa-miR-1301-3p MIMAT0005797"
"158",">hsa-miR-1273f MIMAT0020601"
"159",">hsa-miR-4777-5p MIMAT0019934"
"160",">hsa-miR-3938 MIMAT0018353"
"161",">hsa-miR-371b-3p MIMAT0019893"
"162",">hsa-miR-7112-3p MIMAT0028122"
"163",">hsa-miR-370-3p MIMAT0000722"
"164",">hsa-miR-574-3p MIMAT0003239"
"165",">hsa-miR-4751 MIMAT0019888"
"166",">hsa-miR-8071 MIMAT0030998"
"167",">hsa-miR-23a-5p MIMAT0004496"
"168",">hsa-miR-329-5p MIMAT0026555"
"169",">hsa-miR-372-3p MIMAT0000724"
"170",">hsa-miR-4479 MIMAT0019011"
"171",">hsa-miR-105-3p MIMAT0004516"
"172",">hsa-miR-4326 MIMAT0016888"
"173",">hsa-let-7b-5p MIMAT0000063"
"174",">hsa-miR-6751-5p MIMAT0027402"
"175",">hsa-miR-3192-3p MIMAT0027027"
"176",">hsa-miR-6856-3p MIMAT0027613"
"177",">hsa-miR-6807-5p MIMAT0027514"
"178",">hsa-miR-6735-5p MIMAT0027371"
"179",">hsa-miR-5680 MIMAT0022468"
"180",">hsa-miR-30a-5p MIMAT0000087"
"181",">hsa-miR-1207-5p MIMAT0005871"
"182",">hsa-miR-6844 MIMAT0027589"
"183",">hsa-miR-4438 MIMAT0018956"
"184",">hsa-miR-3189-3p MIMAT0015071"
"185",">hsa-miR-6880-5p MIMAT0027660"
"186",">hsa-miR-6805-3p MIMAT0027511"
"187",">hsa-miR-302b-5p MIMAT0000714"
"188",">hsa-miR-623 MIMAT0003292"
"189",">hsa-miR-875-3p MIMAT0004923"
"190",">hsa-miR-6869-3p MIMAT0027639"
"191",">hsa-miR-657 MIMAT0003335"
"192",">hsa-miR-4689 MIMAT0019778"
"193",">hsa-miR-136-3p MIMAT0004606"
"194",">hsa-miR-519a-3p MIMAT0002869"
"195",">hsa-miR-5003-3p MIMAT0021026"
"196",">hsa-miR-576-5p MIMAT0003241"
"197",">hsa-miR-371a-3p MIMAT0000723"
"198",">hsa-miR-6762-3p MIMAT0027425"
"199",">hsa-miR-586 MIMAT0003252"
"200",">hsa-miR-621 MIMAT0003290"
"201",">hsa-miR-6791-3p MIMAT0027483"
"202",">hsa-miR-4664-5p MIMAT0019737"
"203",">hsa-miR-4436b-3p MIMAT0019941"
"204",">hsa-miR-3150a-5p MIMAT0019206"
"205",">hsa-miR-3692-3p MIMAT0018122"
"206",">hsa-miR-338-5p MIMAT0004701"
"207",">hsa-miR-4693-3p MIMAT0019785"
"208",">hsa-miR-543 MIMAT0004954"
"209",">hsa-miR-151b MIMAT0010214"
"210",">hsa-miR-211-3p MIMAT0022694"
"211",">hsa-miR-7150 MIMAT0028211"
"212",">hsa-miR-4445-3p MIMAT0018964"
"213",">hsa-miR-96-5p MIMAT0000095"
"214",">hsa-miR-5579-5p MIMAT0022269"
"215",">hsa-miR-887-3p MIMAT0004951"
"216",">hsa-miR-593-5p MIMAT0003261"
"217",">hsa-miR-3689a-5p MIMAT0018117"
"218",">hsa-miR-618 MIMAT0003287"
"219",">hsa-miR-6504-3p MIMAT0025465"
"220",">hsa-miR-4282 MIMAT0016912"
"221",">hsa-miR-1228-3p MIMAT0005583"
"222",">hsa-miR-106a-3p MIMAT0004517"
"223",">hsa-miR-491-5p MIMAT0002807"
"224",">hsa-miR-4685-3p MIMAT0019772"
"225",">hsa-miR-548al MIMAT0019024"
"226",">hsa-miR-6765-3p MIMAT0027431"
"227",">hsa-miR-511-3p MIMAT0026606"
"228",">hsa-miR-4286 MIMAT0016916"
"229",">hsa-miR-627-3p MIMAT0026623"
"230",">hsa-miR-644a MIMAT0003314"
"231",">hsa-miR-124-5p MIMAT0004591"
"232",">hsa-miR-6887-3p MIMAT0027675"
"233",">hsa-miR-4449 MIMAT0018968"
"234",">hsa-miR-641 MIMAT0003311"
"235",">hsa-miR-1285-3p MIMAT0005876"
"236",">hsa-miR-1193 MIMAT0015049"
"237",">hsa-miR-3153 MIMAT0015026"
"238",">hsa-miR-30a-3p MIMAT0000088"
"239",">hsa-miR-4312 MIMAT0016864"
"240",">hsa-miR-5006-5p MIMAT0021033"
"241",">hsa-miR-525-5p MIMAT0002838"
"242",">hsa-miR-6733-3p MIMAT0027368"
"243",">hsa-miR-203a-5p MIMAT0031890"
"244",">hsa-miR-4711-3p MIMAT0019817"
"245",">hsa-miR-20b-5p MIMAT0001413"
"246",">hsa-miR-5699-5p MIMAT0027103"
"247",">hsa-miR-1260a MIMAT0005911"
"248",">hsa-miR-5692c MIMAT0022476"
"249",">hsa-miR-3161 MIMAT0015035"
"250",">hsa-miR-3591-5p MIMAT0019876"
"251",">hsa-miR-6763-3p MIMAT0027427"
"252",">hsa-miR-92a-1-5p MIMAT0004507"
"253",">hsa-miR-548h-3p MIMAT0022723"
"254",">hsa-miR-4297 MIMAT0016846"
"255",">hsa-miR-4457 MIMAT0018979"
"256",">hsa-miR-3680-3p MIMAT0018107"
"257",">hsa-miR-2392 MIMAT0019043"
"258",">hsa-miR-548t-3p MIMAT0022730"
"259",">hsa-miR-4784 MIMAT0019948"
"260",">hsa-miR-2682-3p MIMAT0013518"
"261",">hsa-miR-1273c MIMAT0015017"
"262",">hsa-miR-7112-5p MIMAT0028121"
"263",">hsa-miR-5690 MIMAT0022482"
"264",">hsa-miR-5011-3p MIMAT0021046"
"265",">hsa-miR-4431 MIMAT0018947"
