,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-7974-3p,3.16564411,-1.105711614,0.417205913,-2.650277909,0.008042558,0.99879385
hsa-miR-378b-3p,9.78152688,-0.993535261,0.42854652,-2.318383689,0.020428478,0.99879385
hsa-miR-200c-3p,19.747265,0.910425576,0.443140375,2.054485729,0.039928703,0.99879385
hsa-let-7f-2-3p,3.646768287,-0.846685908,0.426236438,-1.986423103,0.046986363,0.99879385
hsa-miR-429-3p,15.57437753,-0.8672771,0.444581553,-1.950771675,0.051084213,0.99879385
hsa-miR-592-5p,13.5906432,-0.848267412,0.449598128,-1.886723629,0.059197508,0.99879385
hsa-miR-1291-5p,2.274180188,0.73781441,0.405523484,1.819412288,0.068848553,0.99879385
hsa-miR-3182-5p,437.0705101,0.769682586,0.43559093,1.766984877,0.077230761,0.99879385
hsa-miR-6131-3p,95.15347746,0.748093664,0.442004275,1.692503232,0.090550064,0.99879385
hsa-miR-215-5p,21.52061782,0.744646074,0.447999839,1.662157013,0.096481297,0.99879385
hsa-miR-1908-5p,1.803716499,-0.650808154,0.401555135,-1.620719292,0.105077854,0.99879385
hsa-miR-4791-5p,17.84096816,0.707349456,0.446111584,1.585588631,0.112832657,0.99879385
hsa-miR-7706-3p,50.58099277,-0.68994236,0.438769949,-1.572446703,0.11584699,0.99879385
hsa-miR-218-1-3p,3.02692126,0.650663033,0.428106847,1.519861312,0.128545836,0.99879385
hsa-miR-130a-3p,3.752900989,0.633132798,0.434683222,1.456538384,0.145243847,0.99879385
hsa-miR-1277-5p,4.283006685,-0.640051003,0.440157068,-1.454142281,0.145906863,0.99879385
hsa-miR-1250-5p,32.3643139,0.630037273,0.436413215,1.44367139,0.148831433,0.99879385
hsa-miR-449a-5p,7.650477812,0.645818275,0.447868266,1.441982665,0.149307264,0.99879385
hsa-miR-4448-3p,67.07078331,0.637671733,0.450378301,1.415858027,0.156817076,0.99879385
hsa-miR-320a-5p,29.74883332,0.610096206,0.433663996,1.406840807,0.159474599,0.99879385
hsa-miR-30d-5p,542.6831897,-0.583430112,0.418821047,-1.393029593,0.163610842,0.99879385
hsa-miR-1246-5p,10657.73289,0.557384211,0.401707652,1.387536952,0.165278092,0.99879385
hsa-miR-339-3p,15.25137651,0.613836919,0.442553398,1.387034697,0.165431183,0.99879385
hsa-miR-6723-3p,1.486120513,0.493113239,0.355888598,1.385583136,0.165874231,0.99879385
hsa-miR-346-5p,4.058820184,-0.524770404,0.408441299,-1.284812298,0.198857884,0.99879385
hsa-miR-7641-1-3p,67.78520141,0.547296324,0.440128956,1.243490839,0.213687015,0.99879385
hsa-miR-10b-3p,11.69455443,0.555879769,0.449797882,1.235843455,0.216516759,0.99879385
hsa-miR-22-3p,587.4570147,0.554284426,0.449566848,1.232929939,0.217601904,0.99879385
hsa-miR-22-5p,10.24055631,0.554411343,0.450427101,1.230856984,0.218376358,0.99879385
hsa-miR-25-5p,9.703660522,-0.553518198,0.450436266,-1.228849096,0.21912839,0.99879385
hsa-miR-450a-2-5p,50.11752038,0.549636918,0.447541112,1.228126095,0.219399637,0.99879385
hsa-miR-450a-1-5p,50.11752038,0.549636918,0.447541112,1.228126095,0.219399637,0.99879385
hsa-miR-548n-5p,6.470306926,0.547653353,0.449822663,1.217487241,0.223418888,0.99879385
hsa-miR-181d-5p,23.19063407,0.527601715,0.437057652,1.207167321,0.227367713,0.99879385
hsa-miR-92a-1-3p,4877.781569,-0.491396255,0.407734861,-1.205185776,0.228131592,0.99879385
hsa-miR-92a-2-3p,4861.075296,-0.491018283,0.407688256,-1.204396438,0.228436388,0.99879385
hsa-miR-421-3p,41.49934728,-0.521943898,0.433754775,-1.203315626,0.228854204,0.99879385
hsa-miR-548ab-5p,6.332567874,0.533792727,0.44939679,1.187798263,0.234912899,0.99879385
hsa-miR-576-5p,8.091195791,-0.520419456,0.44990759,-1.156725219,0.247384643,0.99879385
hsa-miR-222-5p,2.694189622,-0.47175233,0.410990549,-1.147842283,0.251033679,0.99879385
hsa-miR-1278-3p,9.181847711,0.507679679,0.442356589,1.147670661,0.251104547,0.99879385
hsa-miR-676-3p,10.67810265,-0.511161577,0.449986441,-1.135948843,0.255977975,0.99879385
hsa-miR-375-3p,22.31295812,0.50481113,0.447116845,1.129036259,0.258882538,0.99879385
hsa-miR-1273d-5p,7.122324143,0.497381977,0.442211776,1.124759683,0.260690883,0.99879385
hsa-miR-4521-5p,11.87457746,-0.503125782,0.450142746,-1.117702742,0.263693971,0.99879385
hsa-miR-1973-3p,0.703771657,-0.347747744,0.313529564,-1.109138607,0.267370392,0.99879385
hsa-miR-217-5p,4.459950836,0.475502734,0.441937023,1.075951344,0.281949017,0.99879385
