,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-363-3p,20.81557436,-1.895657264,0.551444581,-3.437620627,0.000586849,0.210678887
hsa-miR-424-5p,31.45650233,-1.337661685,0.426388664,-3.13718867,0.001705763,0.3061845
hsa-miR-4521-5p,37.42191061,1.642008417,0.58966376,2.78465208,0.005358519,0.384741635
hsa-miR-19b-2-3p,187.1291105,-1.025048899,0.359483156,-2.851451822,0.004352008,0.384741635
hsa-miR-19b-1-3p,187.0679868,-1.024422654,0.359469715,-2.8498163,0.004374449,0.384741635
hsa-miR-146a-5p,184.7848141,-1.411458682,0.545324205,-2.588292744,0.009645297,0.577110275
hsa-miR-148a-3p,20083.73453,-1.170705579,0.468689817,-2.497825933,0.012495753,0.614020668
hsa-miR-98-3p,19.37533989,-1.121516496,0.462864346,-2.422991761,0.015393276,0.614020668
hsa-miR-3182-5p,440.908589,-1.390602789,0.566692486,-2.453893114,0.014131898,0.614020668
hsa-miR-92a-1-5p,2.739807517,-1.276848312,0.577411416,-2.21133195,0.027012858,0.70816401
hsa-miR-19a-3p,61.97657842,-1.004325114,0.43882709,-2.288657961,0.022099233,0.70816401
hsa-miR-218-1-5p,843.1035695,1.179382387,0.535427594,2.202692578,0.027616424,0.70816401
hsa-miR-200a-3p,5207.642375,-1.210866401,0.544407309,-2.224192035,0.026135527,0.70816401
hsa-miR-218-2-5p,842.9556531,1.179523104,0.535437145,2.202916095,0.027600663,0.70816401
hsa-miR-1301-3p,5.490200854,-1.114640075,0.535906799,-2.079914039,0.037533418,0.720402296
hsa-miR-93-3p,9.815874713,1.256133846,0.594266412,2.113755415,0.034536163,0.720402296
hsa-miR-4448-3p,25.19051612,-1.256288146,0.585786191,-2.144618918,0.031983328,0.720402296
hsa-miR-769-5p,120.6504352,1.073587316,0.503762407,2.131138213,0.033077757,0.720402296
hsa-miR-324-3p,11.19076211,1.055411458,0.509003597,2.073485265,0.038127141,0.720402296
hsa-miR-149-5p,23.3967518,1.043301852,0.509536307,2.047551544,0.040603961,0.728841107
hsa-miR-629-5p,85.12231218,0.92836533,0.506334782,1.833501,0.0667281,0.754754498
hsa-miR-135b-5p,85.18725477,-0.8897412,0.500269486,-1.778523824,0.075317863,0.754754498
hsa-miR-140-3p,76.19974141,0.880747084,0.486955451,1.808681024,0.070500573,0.754754498
hsa-miR-9-3-5p,59.63276672,0.974171484,0.546570691,1.782333922,0.074694794,0.754754498
hsa-miR-429-3p,1714.659815,-0.923409191,0.472056623,-1.956140737,0.050448577,0.754754498
hsa-miR-9-2-5p,59.63276672,0.974171484,0.546570691,1.782333922,0.074694794,0.754754498
hsa-miR-1246-5p,1120.607102,0.834128536,0.469511818,1.776586882,0.075636236,0.754754498
hsa-miR-335-5p,19.84356571,-0.906596052,0.479188755,-1.891939328,0.058499065,0.754754498
hsa-miR-873-3p,2.598551573,1.084037777,0.572238309,1.894381692,0.058174365,0.754754498
hsa-miR-9-1-5p,59.63276672,0.974171484,0.546570691,1.782333922,0.074694794,0.754754498
hsa-miR-203a-3p,466.8235398,-0.885081709,0.501841749,-1.763666954,0.077788068,0.754754498
hsa-miR-139-5p,18.56522727,-1.081674562,0.550975965,-1.963197361,0.049623246,0.754754498
hsa-miR-424-3p,106.7967066,-0.849796979,0.477092221,-1.781200662,0.074879676,0.754754498
hsa-miR-7704-5p,2.621727579,1.085516688,0.588268228,1.845275056,0.064997537,0.754754498
hsa-miR-660-5p,92.2992302,-1.038059674,0.535636687,-1.937992111,0.052624185,0.754754498
hsa-miR-141-3p,59.17397075,-0.931512738,0.525585465,-1.77233352,0.07633921,0.754754498
hsa-miR-122-5p,192.8662138,-1.136029672,0.577214669,-1.968123356,0.049053846,0.754754498
hsa-miR-574-3p,17.28716767,0.904293094,0.517108603,1.748748889,0.080334435,0.758949006
hsa-miR-423-3p,618.5670532,0.853296074,0.494190104,1.726655526,0.084229547,0.775343782
hsa-miR-194-1-5p,10.04806886,-0.898740922,0.52889458,-1.699281778,0.089266104,0.801163286
hsa-miR-615-3p,43.1862712,0.707953854,0.430713725,1.643676096,0.100243126,0.872358014
hsa-miR-23b-3p,337.9092948,-0.769603196,0.470718434,-1.634954445,0.102058598,0.872358014
hsa-let-7f-2-5p,5728.411712,-0.669285027,0.495179526,-1.351600767,0.176503065,0.900357971
