,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-34a-5p,29.46404289,0.018088052,0.528027524,0.034255888,0.972673101,0.988470576
hsa-miR-671-5p,6.62315137,-0.01158099,0.5195277,-0.022291382,0.982215523,0.995857406
hsa-miR-598-3p,16.3221154,0.008194207,0.463992536,0.017660214,0.985909921,0.997294562
hsa-miR-186-5p,292.8962307,0.004258275,0.449316273,0.009477232,0.992438376,0.998571031
hsa-miR-212-5p,2.674853018,-0.004100616,0.534689682,-0.007669151,0.993880963,0.998571031
hsa-miR-455-5p,11.31423797,-0.003616483,0.511182445,-0.00707474,0.994355221,0.998571031
hsa-miR-1277-5p,2.408672915,-0.00133727,0.534193457,-0.002503343,0.998002623,0.998571031
hsa-miR-7704-5p,5.109231195,0.000947776,0.529203332,0.001790948,0.998571031,0.998571031
hsa-miR-205-5p,39.23009571,-0.467917033,0.490551054,-0.95386001,NA,NA
hsa-miR-7641-1-3p,178.8705111,-0.151627609,0.510778632,-0.296855818,NA,NA
hsa-miR-100-5p,1163.88068,-0.348502715,0.515315749,-0.676289663,NA,NA
hsa-miR-7641-2-3p,396.6791781,-0.053965982,0.530590772,-0.101709237,NA,NA
