,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-221-5p,120.622613,-0.021592029,0.444007336,-0.048629892,0.961214247,0.988171054
hsa-miR-548ae-2-5p,3.251267987,-0.018601408,0.5215564,-0.03566519,0.971549327,0.988171054
hsa-miR-378a-5p,16.82202957,-0.015381382,0.463936513,-0.033154067,0.973551727,0.988171054
hsa-miR-450a-1-5p,156.327646,0.022672443,0.386505049,0.058660148,0.953222802,0.988171054
hsa-miR-96-5p,174.154696,0.027362657,0.375583889,0.072853649,0.941922578,0.988171054
hsa-let-7a-2-5p,7880.359958,-0.013238754,0.311650214,-0.042479528,0.966116432,0.988171054
hsa-miR-126-5p,24.01121318,-0.032536966,0.432876125,-0.075164611,0.940083741,0.988171054
hsa-miR-200c-3p,30.47923515,-0.009608375,0.451319896,-0.0212895,0.98301472,0.990806693
hsa-miR-4683-3p,4.520988103,-0.009767594,0.530764569,-0.018402874,0.98531746,0.990806693
hsa-miR-182-5p,2151.148009,0.007883206,0.415789333,0.018959616,0.984873321,0.990806693
hsa-miR-30c-2-3p,7.522546823,-0.004963484,0.521658069,-0.009514822,0.992408385,0.995165075
hsa-miR-30d-3p,21.07153206,-0.000236004,0.467885651,-0.000504404,0.999597544,0.999597544
hsa-miR-7641-1-3p,2920.214975,-0.421521905,0.383637869,-1.098749468,NA,NA
hsa-miR-7641-2-3p,4588.42113,-0.48051011,0.406587187,-1.181813213,NA,NA
hsa-miR-4791-5p,382.0530824,-0.529941907,0.434748904,-1.218960881,NA,NA
