,genes,logFC,logCPM,PValue,FDR
920,hsa-miR-3674-5p,3.824326736,6.520090176,0.004397997,1
1742,hsa-miR-6128-3p,-3.570982461,4.657982956,0.004635178,1
1211,hsa-miR-429-3p,-3.402683866,8.030172476,0.015124039,1
2040,hsa-miR-200b-3p,-3.197536181,9.435564815,0.019702728,1
1909,hsa-miR-200a-3p,-3.229719917,9.315830751,0.021047074,1
2373,hsa-miR-1291-5p,2.791245527,5.78199906,0.023738365,1
1095,hsa-miR-100-5p,-2.616303763,12.85268328,0.037893845,1
1251,hsa-miR-127-3p,4.301225672,3.862387826,0.040381672,1
2365,hsa-miR-378b-3p,-2.430166486,6.07514368,0.043082566,1
1119,hsa-miR-7974-3p,-3.130470756,4.954942068,0.048536217,1
