,genes,logFC,logCPM,PValue,FDR
2365,hsa-miR-378b-3p,-3.185308345,6.07514368,0.010160259,1
1119,hsa-miR-7974-3p,-6.23353202,4.954942068,0.01241049,1
418,hsa-miR-1226-3p,-2.954927552,6.04939149,0.018412694,1
374,hsa-let-7f-2-3p,-2.658748769,5.209355457,0.020606467,1
911,hsa-miR-218-1-3p,1.833039649,5.47215156,0.025283565,1
1916,hsa-miR-1908-5p,-2.342778667,5.142694646,0.033211001,1
2528,hsa-miR-1277-5p,-1.4463538,5.783092904,0.044911897,1
310,hsa-miR-200c-3p,2.21150434,6.388307953,0.04573827,1
1731,hsa-miR-3651-3p,3.339557776,4.333543362,0.049401998,1
