,genes,logFC,logCPM,PValue,FDR
1172,hsa-miR-4521-5p,4.305220659,4.150801591,0.002181954,0.30647005
274,hsa-miR-7641-1-3p,-5.923729557,11.83242265,0.003130462,0.30647005
1901,hsa-miR-7641-2-3p,-5.115105833,12.47370621,0.003797034,0.30647005
1963,hsa-miR-146a-5p,-1.956668306,8.24552398,0.00424848,0.30647005
473,hsa-miR-148a-3p,-1.443826223,14.99642336,0.004401638,0.30647005
1116,hsa-miR-363-3p,-3.105138561,4.926866883,0.005147457,0.30647005
1138,hsa-miR-98-3p,-1.345950486,5.526595889,0.005811463,0.30647005
852,hsa-miR-424-5p,-1.573170398,6.253030825,0.006503343,0.30647005
2218,hsa-miR-4791-5p,-3.395822924,8.523737568,0.0090196,0.377821005
709,hsa-miR-93-3p,2.148355188,3.625839923,0.01263128,0.474600504
1740,hsa-miR-139-5p,-1.548296465,5.823834663,0.015102115,0.474600504
2310,hsa-miR-324-3p,1.347200148,4.291875585,0.015106647,0.474600504
1931,hsa-miR-769-5p,1.348577982,7.508249328,0.01734076,0.476420638
1543,hsa-miR-194-1-5p,-1.205737402,4.92468803,0.017692013,0.476420638
514,hsa-miR-1301-3p,-1.534645057,3.83828177,0.019528404,0.490813888
494,hsa-miR-92a-1-5p,-2.062543619,3.222525058,0.021461022,0.505675327
1909,hsa-miR-200a-3p,-1.688295914,13.38103452,0.023234161,0.515251698
446,hsa-miR-548e-3p,1.479200595,3.239216344,0.031923867,0.571942385
2451,hsa-miR-122-5p,-1.786103237,8.776443588,0.0319629,0.571942385
2172,hsa-miR-194-2-5p,-1.13242324,5.657760306,0.035943566,0.571942385
2540,hsa-miR-218-2-5p,1.602528495,10.38676928,0.036582449,0.571942385
798,hsa-miR-218-1-5p,1.602331073,10.3876526,0.036737511,0.571942385
720,hsa-miR-149-5p,1.343502446,5.934879461,0.038996331,0.571942385
317,hsa-miR-135b-5p,-1.122389789,7.569003906,0.039996276,0.571942385
1943,hsa-miR-3182-5p,-2.144512737,10.19568655,0.042318814,0.571942385
2398,hsa-miR-141-3p,-1.205230152,7.121816646,0.044114678,0.571942385
1047,hsa-miR-9-3-5p,1.30620712,6.292780718,0.04534174,0.571942385
2178,hsa-miR-424-3p,-1.092366791,7.799672794,0.045434877,0.571942385
1288,hsa-miR-9-2-5p,1.306513875,6.292780718,0.045480156,0.571942385
1451,hsa-miR-9-1-5p,1.306585765,6.292780718,0.045512657,0.571942385
173,hsa-miR-342-3p,-0.82394065,6.107484589,0.048559002,0.590540126
752,hsa-let-7f-1-3p,-0.915450848,4.812998965,0.053073327,0.609643201
1496,hsa-miR-203a-3p,-1.139148129,9.718582737,0.055001333,0.609643201
2388,hsa-miR-660-5p,-1.415721986,7.380197358,0.055611745,0.609643201
1106,hsa-miR-4448-3p,-2.19303657,5.9721839,0.058910253,0.609643201
1499,hsa-miR-19b-2-3p,-1.115075701,8.477097682,0.062583785,0.609643201
1785,hsa-miR-19b-1-3p,-1.114384688,8.476783734,0.062621036,0.609643201
1016,hsa-miR-140-3p,1.102702568,6.722468993,0.062727981,0.609643201
313,hsa-miR-629-5p,1.21768866,7.245412103,0.063066538,0.609643201
378,hsa-miR-181d-5p,-0.784250238,8.116904138,0.067447817,0.629474673
266,hsa-miR-561-5p,1.751522953,2.943564337,0.068457458,0.629474673
2307,hsa-miR-199a-2-3p,-1.219812036,4.33277151,0.071187349,0.638991205
385,hsa-miR-582-3p,1.108487096,4.829605433,0.073829919,0.647299523
1885,hsa-miR-199a-1-3p,-1.126946454,4.314983844,0.084266334,0.708748627
1664,hsa-miR-199b-3p,-1.127645284,4.314983844,0.084598643,0.708748627
1429,hsa-miR-873-3p,1.659387287,3.615969552,0.087228672,0.709059129
576,hsa-miR-574-3p,1.179537427,6.135039317,0.089296055,0.709059129
964,hsa-miR-27b-5p,-1.121816911,3.858826406,0.093366874,0.709059129
1814,hsa-miR-5096-5p,1.76805393,3.291476019,0.094971877,0.709059129
1013,hsa-let-7a-3-3p,-0.693630097,8.196342631,0.096474999,0.709059129
