,genes,logFC,logCPM,PValue,FDR
2492,hsa-miR-1250-5p,2.223951637,8.003730644,0.003551371,1
1211,hsa-miR-429-3p,-4.029264998,8.030172476,0.006504977,1
1858,hsa-miR-5697-5p,3.6791865,4.537606578,0.008768614,1
2289,hsa-miR-1278-3p,2.54717883,5.8879186,0.014861382,1
418,hsa-miR-1226-3p,-2.836594674,6.04939149,0.016152035,1
1119,hsa-miR-7974-3p,-6.009828695,4.954942068,0.016381327,1
378,hsa-miR-181d-5p,1.51364083,7.714903063,0.017315671,1
1292,hsa-miR-335-3p,-4.066263485,4.980659655,0.01948251,1
453,hsa-miR-27a-5p,-1.909770753,5.643058576,0.023140761,1
1819,hsa-miR-1290-3p,1.743669921,6.28041405,0.023603023,1
132,hsa-miR-30d-5p,-1.244605701,12.89700955,0.032190928,1
1740,hsa-miR-139-5p,-3.138366899,4.85152027,0.032752661,1
2560,hsa-miR-6723-5p,-2.713064951,4.609344616,0.035920986,1
2540,hsa-miR-218-2-5p,1.302444977,14.85967786,0.036790436,1
798,hsa-miR-218-1-5p,1.300740759,14.86203337,0.037117108,1
1509,hsa-miR-618-5p,-1.414146573,5.967149377,0.0407395,1
2172,hsa-miR-194-2-5p,-1.963316584,7.23733857,0.043571983,1
1782,hsa-miR-3648-1-3p,2.544162771,6.818423098,0.045560617,1
840,hsa-miR-3648-2-3p,2.544069487,6.818423098,0.045721819,1
2456,hsa-miR-196b-3p,2.043911802,4.811346308,0.047427077,1
2534,hsa-miR-30b-5p,-1.446768287,7.509423816,0.049945804,1
