"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASCC1","ENSG00000138303","ASCC1","protein_coding",259.626545,-0.330732279,0.123225227,-2.683965669,0.007275458,0.022486303
"ATAD2","ENSG00000156802","ATAD2","protein_coding",2739.897966,0.672320072,0.107719381,6.241403046,4.34e-10,6.37e-09
"ATP11C","ENSG00000101974","ATP11C","protein_coding",1050.471211,0.27682294,0.098882004,2.79952801,0.005117738,0.016588254
"ATP13A3","ENSG00000133657","ATP13A3","protein_coding",5110.440108,0.362258954,0.091465969,3.960587281,7.48e-05,0.000407741
"ATP2A3","ENSG00000074370","ATP2A3","protein_coding",143.2157251,0.522902068,0.165119434,3.166811181,0.001541204,0.00585763
"ATP5J2","ENSG00000241468","ATP5J2","protein_coding",760.8271372,0.537561069,0.101827869,5.279115406,1.3e-07,1.27e-06
"ATP6V1C1","ENSG00000155097","ATP6V1C1","protein_coding",1642.486759,0.219282997,0.085325048,2.569972151,0.010170669,0.029895331
"ATP6V1C2","ENSG00000143882","ATP6V1C2","protein_coding",18.35345577,-0.978019674,0.300497263,-3.254670822,0.001135239,0.004475424
"ATXN7L3","ENSG00000087152","ATXN7L3","protein_coding",1529.901541,-0.151278842,0.072998754,-2.072348272,0.038232974,0.090975656
"B3GALT5","ENSG00000183778","B3GALT5","protein_coding",142.6652104,1.101788232,0.157784018,6.982888679,2.89e-12,6.03e-11
"BCR","ENSG00000186716","BCR","protein_coding",563.7862032,-0.239127503,0.09359631,-2.554881736,0.010622388,0.031036561
"BDKRB2","ENSG00000168398","BDKRB2","protein_coding",42.47805632,-1.09433739,0.243438918,-4.49532638,6.95e-06,4.78e-05
"BEND7","ENSG00000165626","BEND7","protein_coding",119.4555194,-0.94628043,0.161936592,-5.843524429,5.11e-09,6.37e-08
"BMF","ENSG00000104081","BMF","protein_coding",125.2774948,-0.577939409,0.168762919,-3.424563949,0.000615787,0.002645132
"BMP3","ENSG00000152785","BMP3","protein_coding",219.0216606,-0.667228986,0.254211865,-2.624696471,0.008672624,0.02615788
"BMP4","ENSG00000125378","BMP4","protein_coding",205.5336509,0.949733415,0.145870001,6.510820662,7.47e-11,1.23e-09
"BMPR2","ENSG00000204217","BMPR2","protein_coding",848.1982271,0.897424435,0.121535766,7.38403568,1.54e-13,3.79e-12
"BNC2","ENSG00000173068","BNC2","protein_coding",138.9874236,0.556088667,0.162181856,3.428797033,0.000606263,0.00260624
"BRD4","ENSG00000141867","BRD4","protein_coding",965.2586465,-0.369663729,0.088129869,-4.194533944,2.73e-05,0.000166179
"BTBD9","ENSG00000183826","BTBD9","protein_coding",181.4405208,0.344431735,0.151561684,2.272551525,0.02305322,0.059713315
