Gene Name
VTN
RAD54L2
GDF15
OGDH
PRPH
MRPS31
ALPP
CDH1
RPS2
PRDX6
SLC3A2
C19orf21
ATP5H
MT-ND2
LCP1
ATAD1
KRT81
TGM2
MTCH2
TOMM5
LAMB3
PDIA3
TOMM7
MTCH1
LRRC1
SLC25A13
MYH11
ACOT8
ATP5A1
SLC25A6
COMTD1
EPHA2
SLC16A3
VIM
CTNND1
DYSF
FLNB
MAL2
SPTBN2
TACSTD2
MYH9
GCN1L1
DLAT
CTNNB1
DNAJC11
SPTBN1
COX6C
RTN4
SAMM50
PPP1CA
TIMM50
OCIAD1
TOMM22
MRPL12
MPV17
P4HB
ATP5B
COX5A
GPC4
MCAM
ITGB1
NT5E
SLC25A3
KTN1
TOMM20
NDUFV1
ATAD3A
CHCHD3
IFITM3
COX5B
HYOU1
NDUFA9
HADHA
ANXA4
TOMM40
MT-CO2
APOA1
YWHAZ
NDUFB1
EPPK1
FLNA
NDUFS1
SPTAN1
PHB2
STOML2
HNRNPM
SCRIB
IMMT
GNAS
CAV1
ACTA2
SLC2A1
ANXA11
BASP1
CPNE3
PHB
HSPD1
ANPEP
CALR
ACTB
VDAC2
OCIAD2
UQCRFSL1
MT-ND4
RAP2B
VDAC1
