"V1"
"" 0
"Q9UGM3" c("GO:0035375", "GO:0042589", "GO:0043152", "GO:0002221", "GO:0008329", "GO:0030855", "GO:0048306", "GO:0016032", "GO:0044267", "GO:0030670", "GO:0070062", "GO:0045087", "GO:0005515", "GO:0019898", "GO:0051607", "GO:0006898", "GO:0005044", "GO:0015031", "GO:0016020", "GO:0005576", "GO:0005615", "GO:0005737")
"P02788" c("GO:2001205", "GO:2000308", "GO:1902732", "GO:1900229", "GO:1900159", "GO:0097013", "GO:0052572", "GO:0051701", "GO:0044793", "GO:0034145", "GO:0033214", "GO:0032680", "GO:0031665", "GO:0048525", "GO:0043539", "GO:0090382", "GO:0033690", "GO:0045669", "GO:0042581", "GO:0071902", "GO:0019732", "GO:0001503", "GO:0019731", "GO:0002227", "GO:0043234", "GO:0060349", "GO:0001817", "GO:0045071", "GO:0009986", "GO:0001895", "GO:0044267", "GO:0070062", "GO:0006959", "GO:0032780", "GO:0005515", "GO:0006811", 
"GO:0030141", "GO:0008201", "GO:0043123", "GO:0051092", "GO:0043066", "GO:0004252", "GO:0005506", "GO:0006508", "GO:0006351", "GO:0005576", "GO:0003677", "GO:0005615", "GO:0005737", "GO:0005634", "GO:0008233")
"P23396" c("GO:2001272", "GO:1902546", "GO:1902231", "GO:0070181", "GO:0061481", "GO:0045738", "GO:0044390", "GO:0032358", "GO:0032079", "GO:0031116", "GO:0070301", "GO:2001235", "GO:0005844", "GO:0042769", "GO:0097100", "GO:0072686", "GO:1901224", "GO:0051018", "GO:0032587", "GO:0032357", "GO:0019083", "GO:0051059", "GO:0004520", "GO:0031397", "GO:0030544", "GO:0043507", "GO:0051879", "GO:0032183", "GO:0045739", "GO:0007059", "GO:0008534", "GO:0019900", "GO:0003684", "GO:0019899", "GO:0019058", "GO:0016032", 
"GO:0010467", "GO:0051301", "GO:0044267", "GO:0010628", "GO:0070062", "GO:0006413", "GO:0003906", "GO:0019901", "GO:0022627", "GO:0044822", "GO:0005515", "GO:0017148", "GO:0005759", "GO:0003729", "GO:0051225", "GO:0000184", "GO:0015631", "GO:0005925", "GO:0006415", "GO:0007067", "GO:0006614", "GO:0006281", "GO:0071159", "GO:0051092", "GO:0006974", "GO:0005829", "GO:0005743", "GO:0030529", "GO:0008134", "GO:0051536", "GO:0042981", "GO:0006979", "GO:0008017", "GO:0016020", "GO:0005886", "GO:0005840", 
"GO:0006351", "GO:0006414", "GO:0005730", "GO:0015935", "GO:0006412", "GO:0003735", "GO:0003723", "GO:0003677", "GO:0005737", "GO:0005634")
"P04004" c("GO:0071062", "GO:0061302", "GO:0033627", "GO:0035987", "GO:0030949", "GO:0090303", "GO:0030195", "GO:0030449", "GO:0014911", "GO:0005178", "GO:0048260", "GO:0032092", "GO:0050731", "GO:0030198", "GO:0030247", "GO:0070062", "GO:0072562", "GO:0045087", "GO:0005515", "GO:0008201", "GO:0007160", "GO:0006898", "GO:0005044", "GO:0031012", "GO:0007155", "GO:0010951", "GO:0006955", "GO:0005576", "GO:0005615", "GO:0005578", "GO:0048709", "GO:0010811", "GO:0050840")
"P13798" c("GO:0050435", "GO:0010467", "GO:0044267", "GO:0070062", "GO:0044822", "GO:0005515", "GO:0008236", "GO:0006415", "GO:0008242", "GO:0005829", "GO:0004252", "GO:0006508", "GO:0031965", "GO:0006412", "GO:0005737")
"P62191" c("GO:0045899", "GO:0036402", "GO:0031597", "GO:1901800", "GO:0031595", "GO:0051436", "GO:0022624", "GO:0000082", "GO:0008540", "GO:0090263", "GO:0051439", "GO:0051437", "GO:0048011", "GO:0048010", "GO:0043488", "GO:0042590", "GO:0034641", "GO:0033209", "GO:0031145", "GO:0008286", "GO:0007173", "GO:0006977", "GO:0006521", "GO:0002479", "GO:0002223", "GO:0000278", "GO:0000186", "GO:0016032", "GO:0017025", "GO:0010467", "GO:0044281", "GO:0012501", "GO:0045087", "GO:0090090", "GO:0044822", "GO:0038095", 
"GO:0005515", "GO:0007265", "GO:0000165", "GO:0000209", "GO:0008543", "GO:0006595", "GO:0002474", "GO:0038061", "GO:0000502", "GO:0005829", "GO:0030433", "GO:0043066", "GO:0030163", "GO:0042981", "GO:0006915", "GO:0050852", "GO:0007264", "GO:0016020", "GO:0016887", "GO:0016787", "GO:0007411", "GO:0005654", "GO:0005737", "GO:0005634", "GO:0005524", "GO:1901215", "GO:0005838")
"P05141" c("GO:1901029", "GO:0015853", "GO:0015207", "GO:0071817", "GO:0006112", "GO:0042645", "GO:0007059", "GO:0050796", "GO:0016032", "GO:0044281", "GO:0070062", "GO:0044822", "GO:0005515", "GO:0005887", "GO:0008284", "GO:0005743", "GO:0031625", "GO:0006810", "GO:0016020", "GO:0055085", "GO:0005739", "GO:0006412", "GO:0003735", "GO:0005634", "GO:0043209")
"P22314" c("GO:0019941", "GO:0004839", "GO:0000792", "GO:0030867", "GO:0005765", "GO:0008641", "GO:0010008", "GO:0070062", "GO:0044822", "GO:0005515", "GO:0030057", "GO:0006974", "GO:0005829", "GO:0016567", "GO:0004842", "GO:0005739", "GO:0005737", "GO:0005634", "GO:0005524")
