#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
POLR2A	FUS	1849743	1844273	ENSP00000314949	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
HNRNPK	SF3A2	1856467	1842843	ENSP00000365439	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.895	0.900	0.047	0.989
PCBP2	HNRNPL	1853847	1842831	ENSP00000352438	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.912	0.900	0.564	0.995
YBX1	HNRNPF	1855704	1852109	ENSP00000361626	ENSP00000338477	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.267	0.923
PTBP1	HNRNPH1	1853438	1853404	ENSP00000349428	ENSP00000349168	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.658	0.964
HNRNPA2B1	TARDBP	1853084	1843553	ENSP00000346694	ENSP00000240185	0.000	0.000	0.000	0.681	0.095	0.692	0.000	0.591	0.762
SRSF2	HNRNPL	1853940	1842831	ENSP00000353089	ENSP00000221419	0.000	0.000	0.000	0.000	0.077	0.102	0.900	0.425	0.946
PTBP1	SF3A2	1853438	1842843	ENSP00000349428	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.155	0.911
SRSF2	HNRNPU	1853940	1846836	ENSP00000353089	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.329	0.930
PCBP2	PTBP1	1853847	1853438	ENSP00000352438	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.570	0.900	0.720	0.986
