#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
HNRNPH1	SRRM1	1853404	1850815	ENSP00000349168	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.253	0.922
HNRNPA3	HNRNPK	1858016	1856467	ENSP00000376309	ENSP00000365439	0.000	0.000	0.000	0.000	0.000	0.549	0.900	0.415	0.971
SRSF4	SRRM1	1855988	1850815	ENSP00000362900	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.626	0.900	0.492	0.979
HNRNPA2B1	SF3A2	1853084	1842843	ENSP00000346694	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.930	0.900	0.185	0.993
YBX1	SRRM1	1855704	1850815	ENSP00000361626	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.190	0.915
SRSF2	HNRNPD	1853940	1849608	ENSP00000353089	ENSP00000313199	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.388	0.943
ALYREF	FUS	1861534	1844273	ENSP00000421592	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.361	0.933
HNRNPK	HNRNPL	1856467	1842831	ENSP00000365439	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.819	0.900	0.633	0.992
HNRNPK	HNRNPF	1856467	1852109	ENSP00000365439	ENSP00000338477	0.000	0.000	0.000	0.000	0.000	0.558	0.900	0.909	0.995
HNRNPA1	HNRNPU	1852510	1846836	ENSP00000341826	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.748	0.900	0.630	0.989
HNRNPK	SRSF2	1856467	1853940	ENSP00000365439	ENSP00000353089	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.498	0.947
HNRNPU	HNRNPL	1846836	1842831	ENSP00000283179	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.489	0.946
SRSF4	HNRNPL	1855988	1842831	ENSP00000362900	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.159	0.912
HNRNPA1	POLR2A	1852510	1849743	ENSP00000341826	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.152	0.921
SRSF4	HNRNPD	1855988	1849608	ENSP00000362900	ENSP00000313199	0.000	0.000	0.000	0.000	0.091	0.300	0.900	0.259	0.946
ALYREF	SF3A2	1861534	1842843	ENSP00000421592	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.725	0.900	0.102	0.973
SRSF2	SRRM1	1853940	1850815	ENSP00000353089	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.155	0.900	0.678	0.970
PCBP2	SRRM1	1853847	1850815	ENSP00000352438	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.201	0.916
SRSF4	FUS	1855988	1844273	ENSP00000362900	ENSP00000254108	0.000	0.000	0.000	0.000	0.077	0.564	0.900	0.113	0.959
SRSF4	HNRNPA2B1	1855988	1853084	ENSP00000362900	ENSP00000346694	0.000	0.000	0.000	0.000	0.076	0.300	0.900	0.368	0.953
HNRNPA3	SF3A2	1858016	1842843	ENSP00000376309	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.930	0.900	0.185	0.993
HNRNPA2B1	HNRNPA1	1853084	1852510	ENSP00000346694	ENSP00000341826	0.000	0.000	0.000	0.946	0.000	0.847	0.900	0.842	0.984
HNRNPA3	HNRNPA1	1858016	1852510	ENSP00000376309	ENSP00000341826	0.000	0.000	0.000	0.949	0.000	0.000	0.900	0.608	0.903
YBX1	SRSF2	1855704	1853940	ENSP00000361626	ENSP00000353089	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.329	0.930
ALYREF	YBX1	1861534	1855704	ENSP00000421592	ENSP00000361626	0.000	0.000	0.000	0.000	0.000	0.644	0.900	0.178	0.968
HNRNPA2B1	POLR2A	1853084	1849743	ENSP00000346694	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.083	0.915
PCBP2	HNRNPH1	1853847	1853404	ENSP00000352438	ENSP00000349168	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.305	0.927
HNRNPA1	TARDBP	1852510	1843553	ENSP00000341826	ENSP00000240185	0.000	0.000	0.000	0.674	0.071	0.658	0.000	0.607	0.733
HNRNPA3	SRRM1	1858016	1850815	ENSP00000376309	ENSP00000326261	0.000	0.000	0.000	0.000	0.111	0.000	0.900	0.089	0.911
YBX1	HNRNPL	1855704	1842831	ENSP00000361626	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.340	0.900	0.358	0.953
ALYREF	SRSF4	1861534	1855988	ENSP00000421592	ENSP00000362900	0.000	0.000	0.000	0.000	0.114	0.666	0.900	0.185	0.972
SRSF4	SF3A2	1855988	1842843	ENSP00000362900	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.923	0.900	0.143	0.992
HNRNPA3	HNRNPD	1858016	1849608	ENSP00000376309	ENSP00000313199	0.000	0.000	0.000	0.796	0.089	0.905	0.900	0.556	0.991
YBX1	HNRNPA1	1855704	1852510	ENSP00000361626	ENSP00000341826	0.000	0.000	0.000	0.000	0.105	0.297	0.900	0.569	0.969
SRSF2	HNRNPH1	1853940	1853404	ENSP00000353089	ENSP00000349168	0.000	0.000	0.000	0.000	0.090	0.102	0.900	0.632	0.965
HNRNPK	PCBP2	1856467	1853847	ENSP00000365439	ENSP00000352438	0.000	0.000	0.000	0.757	0.000	0.570	0.900	0.948	0.965
HNRNPA3	HNRNPL	1858016	1842831	ENSP00000376309	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.915	0.900	0.532	0.995
SRSF2	SF3A2	1853940	1842843	ENSP00000353089	ENSP00000221494	0.000	0.000	0.000	0.000	0.076	0.895	0.900	0.350	0.992
SRSF2	TARDBP	1853940	1843553	ENSP00000353089	ENSP00000240185	0.000	0.000	0.000	0.000	0.101	0.000	0.000	0.395	0.432
PTBP1	TARDBP	1853438	1843553	ENSP00000349428	ENSP00000240185	0.000	0.000	0.000	0.000	0.000	0.304	0.000	0.392	0.558
SRRM1	POLR2A	1850815	1849743	ENSP00000326261	ENSP00000314949	0.000	0.000	0.000	0.000	0.080	0.000	0.900	0.072	0.907
HNRNPK	TARDBP	1856467	1843553	ENSP00000365439	ENSP00000240185	0.000	0.000	0.000	0.000	0.000	0.778	0.000	0.313	0.840
