"","x"
"1","CD81"
"2","TP53"
"3","CMTM5"
"4","ITGA4"
"5","ICAM1"
"6","VCAM1"
"7","NTRK1"
"8","SH3KBP1"
"9","EED"
"10","ESR1"
"11","ADRB2"
"12","LYN"
"13","UQCRC2"
"14","EMD"
"15","AQP5"
"16","SUMO1"
"17","HUWE1"
"18","IGSF8"
"19","LGR4"
"20","GAA"
"21","TP53"
"22","SPG7"
"23","HNRNPM"
"24","RTP5"
"25","NPDC1"
"26","CNNM3"
"27","PCDHB14"
