"","x"
"1","ITGA4"
"2","VCAM1"
"3","SPI1"
"4","NTRK1"
"5","ESR1"
"6","EMC2"
"7","TOMM34"
"8","SLC25A3"
"9","CKAP4"
"10","CDH4"
"11","DNAJC10"
"12","BCS1L"
"13","ABCA1"
"14","SLC22A11"
"15","RPL9"
"16","ADCK5"
"17","RPN2"
"18","LDHA"
"19","SPI1"
"20","GOLIM4"
"21","ATXN2L"
"22","SLC1A5"
"23","TIMM50"
"24","TRPM4"
"25","SLC25A5"
"26","HSPD1"
"27","HSPA5"
"28","C6"
"29","IL7R"
"30","PHB"
"31","RPS14"
"32","NSDHL"
"33","AMOT"
"34","GPR101"
"35","ABCF2"
