YWHAB
YWHAE
YWHAZ
PLCD3
PSMD2
MRPS31
OGDH
MRPL12
MRPL49
RPS10
RPS13
RPS16
RPS2
RPS4X
RPS7
SLC3A2
NT5E
HSPD1
RPLP0
RPLP1
RPLP2
RPL10A
RPL17
RPL28
RPL3
RPL31
RPL4
RPL6
RPL7
HSPA5
AKAP1
SMPDL3B
ACTA2
ACTB
ARP11
NDUFAB1
ACOT8
AGK
SLC25A4
SLC25A5
SLC25A6
ALDH1A3
ALPP
ACTN1
ACTR1A
ANPEP
ANXA1
ANXA11
ANXA2
ANXA4
ANXA5
ANXA6
ANXA7
AP1B1
AP2B1
AP2S1
APOA1
APOOL
ATP5A1
ATP5B
ATP5H
ATAD1
ATAD3A
ATAD3B
ABCD3
BSG
ACTBL3
BASP1
ZMPSTE24
CDH1
SLC25A13
SLC25A24
CANX
CALR
COMTD1
CTNNB1
CTNND1
CAV1
CD109
CD44
MCAM
CLTC
CFL1
CCDC47
CHCHD3
C1QBP
CD55
CPNE2
CPNE3
CCNY
UQCRC1
UQCRC2
UQCRB
UQCR10
UQCRFS1
MT
COX4I1
COX5A
COX5B
COX6C
COX7A2
COX7C
CYC1
CKAP4
CYTSB
PHGDH
DES
DSG2
DSP
DLAT
CSDA
DNAJC11
DDOST
RPN1
RPN2
DBN1
DYSF
EEF1A1
EEF1G
EEF2
ENDOD1
HSP90B1
EPHA2
EPPK1
EPCAM
ERLIN1
ERLIN2
XPO1
CSE1L
EZR
FAF2
FAR2
FLNA
FLNB
FLOT1
FLOT2
LGALS1
GFAP
GAPDH
GPC4
GOLGA7
GDF15
GNAI1
GNAI2
GNG12
GNB1
GNAI3
GNAS
GNA11
GNA12
HSPA1A
HSPA1L
HSPA8
HSPA2
RAD54L2
HBXIP
HNRNPK
HNRNPM
SYNCRIP
HYOU1
KPNB1
IPO5
ITGB1
IFITM3
JUP
KRT34
KRT10
KRT13
KRT14
KRT16
KRT17
KRT18
KRT19
KRT81
KRT2
KRT4
KRT6A
KRT7
KRT72
KRT75
KRT79
KRT8
KTN1
LMNA
LAMB3
LRPPRC
LRRC1
LRRC59
LIMA1
MBOAT7
LAMP2
MPP5
MREG
MTX2
MGST3
SLC25A11
MTCH1
MTCH2
TIMM10
TIMM50
TOMM20
TOMM22
TOMM40
TOMM5
TOMM7
TOMM70A
IMMT
MAPKSP1
ROBLD3
SLC16A3
MYADM
MYOF
MYL6
MYH10
MYH11
MYH9
MYO1C
NDUFAF4
NDUFA10
NDUFA13
NDUFA5
NDUFA6
NDUFA8
NDUFA9
NDUFB1
NDUFB10
NDUFB3
NDUFB4
NDUFB6
NDUFV1
NDUFV2
NDUFS2
NDUFS3
NDUFS4
NDUFS8
NDUFS1
MT
MT
MT
AHNAK
SLC1A5
ULBP3
NCL
NPM1
OCIAD1
OCIAD2
PALM
FKBP8
PRPH
PRDX6
SLC25A3
PKP3
LCP1
PLEC1
ATP12A
PFN1
PDCD6
PHB
PHB2
PDIA3
PDIA6
P4HB
EFR3A
FAM162A
MTDH
MAL2
MPV17
S100A10
S100A11
S100A14
S100A16
SCRIB
RP2
TGM2
YES1
UQCRFSL1
HSP90AB2P
HSP90AB3P
TUBA4B
PDHB
RAC1
RAB10
RAB11A
RAB15
RAB1A
RAB35
RALA
RAP1A
RAP2A
RAP2B
RRAS2
RGS19
FAM82A2
RTN4
GPRC5A
C11orf59
PPP1CA
SFXN1
SEC11A
SNRPD1
SLC4A7
ATP1A1
ATP1B1
ATP1B3
SLC38A2
SLC2A1
SLC2A14
SAMM50
SPTAN1
SPTBN1
SPTBN2
STOML2
SLC26A2
SNAP23
CCT4
THBS1
TECR
TFRC
RHOA
VCP
GCN1L1
SSR4
TM9SF3
TMCO1
TMED10
TMED2
TMEM43
TMEM55B
HADHA
HADHB
TNNI3
TUBA1A
TUBA1B
TUBB
TUBB2A
TUBB2C
TACSTD2
BLK
FYN
RPS27A
C19orf21
C11orf83
VAPA
VIM
VTN
VDAC1
VDAC2
VDAC3
ATP6V0A2
TCIRG1
ATP6V1A
ATP6V1B2
ATP6V1B1
ATP6V1C1
ATP6V0D1
ATP6V1F
ATP6V1H
SLC39A7
