YWHAB
YWHAE
YWHAG
SFN
YWHAQ
YWHAZ
PSMC1
PSMD2
RPS14
RPS16
RPS2
RPS3
SLC3A2
HSPD1
RPLP0P6
RPL10A
RPL18
RPL34
RPL4
PGD
HSPA5
ANP32B
ACTA2
ACTB
ARPC3
ACTR3
APEH
AHCY
AK2
ADSS
CAP1
SLC25A5
ARF1
AGRN
AKR1A1
ALDH1A3
ACTN1
ACTN4
ACTR1A
ENO1
ANXA1
ANXA11
ANXA2
ANXA3
ANXA5
GOT1
GOT2
ACLY
DHX9
DDX39
B4GALT1
B4GALT4
B2M
ACTBL3
HEXB
LACTB2
ATIC
PRSS22
CDH1
CALR
CLSTN1
PRKACA
CBR1
CPA4
CTNNB1
CTSD
CTSL1
CTSZ
CHID1
CLIC1
CS
CLTC
CLU
COTL1
ARCN1
CFL1
COL6A1
COL6A2
C3
CNTNAP4
CPNE1
CAND1
CSTB
CST3
CST6
CYCS
ACOT7
CNDP2
PHGDH
DDT
DMBT1
DKK1
CTSC
DDB1
APEX1
DNAJB11
DAG1
EFHD1
EFEMP1
EHD1
EEF1A1
EEF1D
EEF1G
EEF2
ERP29
HSP90B1
EPHA2
EPPK1
EPCAM
EIF4A1
EIF5A
EXT1
EXT2
CSE1L
EZR
FSCN1
FASN
FABP5
FCRLB
FN1
FLNA
FLNB
FST
ALDOA
ALDOC
FH
LGALS3BP
GGH
IFI30
GM2A
GRLF1
GPI
GSTO1
GSTP1
GAPDH
GAPDHS
PYGB
GARS
GPC4
GBF1
RAN
GNG12
GNA12
HSPA13
HSPA1A
HSPA1L
HSPA4
HSPA8
HSPH1
TRAP1
HSP90AA1
HSP90AB1
HSPA2
HNRNPAB
HNRNPA1L2
HNRNPCL1
HNRNPK
SYNCRIP
HNRNPR
HNRNPA2B1
HNRNPC
HMGB1
HMGA1
HIST1H2AA
HIST1H2AB
HIST1H2BA
HIST1H2BB
HIST1H2BC
HIST3H3
HIST1H4A
HLA
ST13
CDC37
HPRT1
HYOU1
KPNB1
IPO5
IPO7
INHBA
PPA1
IGFBP2
IGFBP3
IGFBP6
ILF2
ILF3
IL6
KLK5
KLK6
KRT18
KRT2
KRT7
KRT8
LTF
GLO1
LAMA3
SLC7A5
LXN
LGMN
LDHA
LDHAL6B
LDHB
CTSA
PRCP
MIF
MDH1
MDH2
TIMP1
TIMP2
MSN
PAICS
MINPP1
MYH10
MYH9
MARCKS
NRP1
GANAB
SLC1A5
LCN2
NAMPT
NOG
YBX1
NCL
NPM1
NME1
NME2
OLA1
OLFML3
PPT1
PTX3
PPIA
PPIB
FKBP4
PXDN
PRDX1
PRDX2
PRDX4
PRDX5
PRDX6
PEBP1
PGM1
PGK1
PGAM1
PLTP
SERBP1
PLS1
LCP1
PLEC1
PARP1
PABPC1
GALNT2
PTBP1
PTBP2
VBP1
DDX6
CPVL
XPNPEP3
PLOD1
PLOD2
PFN1
PCNA
PA2G4
PCSK9
PSMA1
PSMA2
PSMA3
PSMA4
PSMA5
PSMA6
PSMA7
PSMA8
PSMB1
PSMB2
PSMB3
PSMB4
PSMB5
PSMB6
PRMT1
CYR61
PDIA3
PDIA4
PDIA6
PARK7
TGM2
PNP
NPEPPS
HSP90AA2
HSP90AA4P
HSP90AA5P
HSP90AB2P
HSP90AB3P
HNRPA1L3
HMGB1L1
NME2P1
SNRPEL1
TPISL
TUBA4B
PKM2
GDI1
GDI2
IQGAP1
RAB1A
RAB35
RAP1A
RAP2B
ATP6AP2
ALDH1A1
ALDH1A2
ARHGDIA
RBM8A
FUS
SEMA7A
SEPT11
PPP2R1A
PPP1CA
SDCCAG1
SERPINB7
ALB
SNRPGP15
SNRPD1
SNRPD3
SLC2A1
BAT1
U2AF2
STC2
HSPA9
QSOX1
CCT2
CCT7
CCT3
CCT8
CCT6A
TNC
TXNRD1
TARS
THBS1
FUCA1
PLAT
TALDO1
TFRC
TGFB2
TAGLN2
VCP
TKT
GCN1L1
TPI1
WARS
TUBA1A
TUBA1B
TUBB
TUBB1
TUBB2A
TUBB2C
TINAGL1
USP14
RPS27A
OTUB1
UBE2D2
UBE2N
UBE2V1
UBA1
C19orf10
PLAU
VARS
VCL
VTN
XRCC5
XRCC6
